----------Calculation 1: 101001010111 * 101000101----------
Step 0144: State=40, Head=26, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0145: State=41, Head=25, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0146: State=42, Head=24, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0147: State=42, Head=23, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0148: State=42, Head=22, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0149: State=42, Head=21, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0150: State=42, Head=20, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0151: State=42, Head=19, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0152: State=42, Head=18, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0153: State=42, Head=17, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0154: State=42, Head=16, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0155: State=42, Head=15, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0156: State=42, Head=14, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0157: State=42, Head=13, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0158: State=43, Head=12, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0159: State=43, Head=11, Tape=BBBBBBBBBBBBxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0160: State=44, Head=12, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0161: State=44, Head=13, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0162: State=45, Head=14, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0163: State=46, Head=15, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0164: State=46, Head=16, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0165: State=46, Head=17, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0166: State=46, Head=18, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0167: State=46, Head=19, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0168: State=46, Head=20, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0169: State=46, Head=21, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0170: State=46, Head=22, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0171: State=46, Head=23, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0172: State=46, Head=24, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0173: State=46, Head=25, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0174: State=46, Head=26, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0175: State=47, Head=27, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0176: State=48, Head=28, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0177: State=48, Head=29, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0178: State=48, Head=30, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0179: State=48, Head=31, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0180: State=48, Head=32, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0181: State=48, Head=33, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0182: State=48, Head=34, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0183: State=48, Head=35, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0184: State=48, Head=36, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
